,avancealas,department_name,mesas_number,mesas_percentage,mesas_total,municipality_name,no_percentage,no_votes,resaltar,si_percentage,si_votes,url,votacion_percentage,votacion_personas_number,votacion_personas_total,votosnomarcados,votosnulos,votosvalidos
219,17:05:15,Boyaca,2259.0,100.0,2259.0,Todos,49.91,188170.0,13.0,50.08,188840.0,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,41.74,387666.0,928625.0,010,7.546,377010.0
220,16:40:15,Boyaca,5.0,100.0,5.0,Almeida,48.44,327.0,3.0,51.55,348.0,http://plebiscito.registraduria.gov.co/99PL/DPL07007ZZZZZZZZZZZZ_L1.htm,36.32,693.0,1908.0,,11,675.0
221,16:50:15,Boyaca,36.0,100.0,36.0,Aquitania (Puebloviejo),71.19,2985.0,9.0,28.8,1208.0,http://plebiscito.registraduria.gov.co/99PL/DPL07008ZZZZZZZZZZZZ_L1.htm,34.81,4299.0,12347.0,3,65,4193.0
222,16:30:15,Boyaca,11.0,100.0,11.0,Arcabuco,53.29,882.0,4.0,46.7,773.0,http://plebiscito.registraduria.gov.co/99PL/DPL07010ZZZZZZZZZZZZ_L1.htm,37.59,1718.0,4570.0,5,54,1655.0
223,16:40:15,Boyaca,16.0,100.0,16.0,Belen,53.88,1344.0,6.0,46.11,1150.0,http://plebiscito.registraduria.gov.co/99PL/DPL07013ZZZZZZZZZZZZ_L1.htm,38.55,2602.0,6748.0,4,81,2494.0
224,16:35:15,Boyaca,4.0,100.0,4.0,Berbeo,31.86,181.0,4.0,68.13,387.0,http://plebiscito.registraduria.gov.co/99PL/DPL07016ZZZZZZZZZZZZ_L1.htm,40.13,588.0,1465.0,,15,568.0
225,16:35:15,Boyaca,5.0,100.0,5.0,Beteitiva,38.23,252.0,4.0,61.76,407.0,http://plebiscito.registraduria.gov.co/99PL/DPL07019ZZZZZZZZZZZZ_L1.htm,35.77,685.0,1915.0,,19,659.0
226,16:40:15,Boyaca,14.0,100.0,14.0,Boavita,55.66,1002.0,7.0,44.33,798.0,http://plebiscito.registraduria.gov.co/99PL/DPL07022ZZZZZZZZZZZZ_L1.htm,36.14,1866.0,5162.0,0,40,1800.0
227,16:35:15,Boyaca,10.0,100.0,10.0,Boyaca,41.81,432.0,5.0,58.18,601.0,http://plebiscito.registraduria.gov.co/99PL/DPL07025ZZZZZZZZZZZZ_L1.htm,25.54,1073.0,4201.0,3,24,1033.0
228,16:35:15,Boyaca,5.0,100.0,5.0,Briceño,37.45,282.0,4.0,62.54,471.0,http://plebiscito.registraduria.gov.co/99PL/DPL07028ZZZZZZZZZZZZ_L1.htm,36.79,772.0,2098.0,,7,753.0
