,avancealas,department_name,mesas_number,mesas_percentage,mesas_total,municipality_name,no_percentage,no_votes,resaltar,si_percentage,si_votes,url,votacion_percentage,votacion_personas_number,votacion_personas_total,votosnomarcados,votosnulos,votosvalidos,idps_avg19992014
1245,16:40:15,Sucre,33,100.0, 33,Guaranda,48.43,1701.0,6.0,51.56,1811.0,http://plebiscito.registraduria.gov.co/99PL/DPL28049ZZZZZZZZZZZZ_L1.htm,28.01,3584.0,12792.0,2,48,3.512,182.0625
1246,16:40:15,Sucre,43,100.0, 43,Los Palmitos,23.25,1751.0,7.0,76.74,5779.0,http://plebiscito.registraduria.gov.co/99PL/DPL28055ZZZZZZZZZZZZ_L1.htm,43.55,7661.0,17591.0,0,66,7.530,88.125
1247,16:50:15,Sucre,73,100.0, 73,Majagual,42.06,2857.0,8.0,57.93,3935.0,http://plebiscito.registraduria.gov.co/99PL/DPL28060ZZZZZZZZZZZZ_L1.htm,26.57,6929.0,26077.0,2,52,6.792,107.2
1248,16:40:15,Sucre,33,100.0, 33,Morroa,34.54,1753.0,5.0,65.45,3322.0,http://plebiscito.registraduria.gov.co/99PL/DPL28080ZZZZZZZZZZZZ_L1.htm,40.75,5222.0,12813.0,5,101,5.075,70.3125
1249,16:50:15,Sucre,51,100.0, 51,Ovejas,27.48,2019.0,8.0,72.51,5328.0,http://plebiscito.registraduria.gov.co/99PL/DPL28100ZZZZZZZZZZZZ_L1.htm,37.09,7470.0,20135.0,7,58,7.347,326.4375
1250,16:40:15,Sucre,26,100.0, 26,Palmito,30.32,1011.0,7.0,69.67,2323.0,http://plebiscito.registraduria.gov.co/99PL/DPL28120ZZZZZZZZZZZZ_L1.htm,35.2,3394.0,9642.0,4,29,3.334,11.8666666667
1251,16:40:15,Sucre,78,100.0, 78,Sampues,40.27,4596.0,7.0,59.72,6816.0,http://plebiscito.registraduria.gov.co/99PL/DPL28160ZZZZZZZZZZZZ_L1.htm,37.79,11708.0,30974.0,12,170,11.412,75.5625
1252,16:50:15,Sucre,53,100.0, 53,San Benito Abad,35.65,1917.0,9.0,64.34,3460.0,http://plebiscito.registraduria.gov.co/99PL/DPL28180ZZZZZZZZZZZZ_L1.htm,29.64,5485.0,18505.0,7,46,5.377,87.75
1253,16:35:15,Sucre,27,100.0, 27,San Juan De Betulia (Betulia),28.69,1282.0,5.0,71.3,3185.0,http://plebiscito.registraduria.gov.co/99PL/DPL28190ZZZZZZZZZZZZ_L1.htm,40.39,4534.0,11225.0,7,39,4.467,9.64285714286
1254,16:45:15,Sucre,103,100.0, 103,San Marcos,36.38,4036.0,8.0,63.61,7058.0,http://plebiscito.registraduria.gov.co/99PL/DPL28200ZZZZZZZZZZZZ_L1.htm,26.62,11381.0,42745.0,94,165,11.094,72.0
